WATERBODY,STATION,LEASE,LATITUDE,LONGITUDE,DEPLOYMENT_PERIOD,TIMESTAMP,SENSOR,DEPTH,VARIABLE,VALUE,UNITS,MOORING
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 11:32:42 AM,aquaMeasure-675286,2,Temperature,15.32,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 11:42:42 AM,aquaMeasure-675286,2,Temperature,15.27,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 11:52:42 AM,aquaMeasure-675286,2,Temperature,15.25,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:02:42 PM,aquaMeasure-675286,2,Temperature,15.27,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:12:42 PM,aquaMeasure-675286,2,Temperature,15.3,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:22:42 PM,aquaMeasure-675286,2,Temperature,15.3,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:32:42 PM,aquaMeasure-675286,2,Temperature,15.34,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:42:42 PM,aquaMeasure-675286,2,Temperature,15.38,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 12:52:42 PM,aquaMeasure-675286,2,Temperature,15.42,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:02:42 PM,aquaMeasure-675286,2,Temperature,15.55,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:12:42 PM,aquaMeasure-675286,2,Temperature,15.55,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:22:42 PM,aquaMeasure-675286,2,Temperature,15.64,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:32:42 PM,aquaMeasure-675286,2,Temperature,15.7,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:42:42 PM,aquaMeasure-675286,2,Temperature,15.77,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 01:52:42 PM,aquaMeasure-675286,2,Temperature,15.83,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:02:42 PM,aquaMeasure-675286,2,Temperature,15.9,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:12:42 PM,aquaMeasure-675286,2,Temperature,15.94,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:22:42 PM,aquaMeasure-675286,2,Temperature,16.11,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:32:42 PM,aquaMeasure-675286,2,Temperature,16.26,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:42:42 PM,aquaMeasure-675286,2,Temperature,16.37,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 02:52:42 PM,aquaMeasure-675286,2,Temperature,16.5,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:02:42 PM,aquaMeasure-675286,2,Temperature,16.57,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:12:42 PM,aquaMeasure-675286,2,Temperature,16.63,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:22:42 PM,aquaMeasure-675286,2,Temperature,16.72,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:32:42 PM,aquaMeasure-675286,2,Temperature,16.81,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:42:42 PM,aquaMeasure-675286,2,Temperature,16.96,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 03:52:42 PM,aquaMeasure-675286,2,Temperature,17.05,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:02:42 PM,aquaMeasure-675286,2,Temperature,17.13,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:12:42 PM,aquaMeasure-675286,2,Temperature,17.22,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:22:42 PM,aquaMeasure-675286,2,Temperature,17.31,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:32:42 PM,aquaMeasure-675286,2,Temperature,17.4,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:42:42 PM,aquaMeasure-675286,2,Temperature,17.48,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 04:52:42 PM,aquaMeasure-675286,2,Temperature,17.57,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/17 05:02:42 PM,aquaMeasure-675286,2,Temperature,17.64,degrees Celsius,fixed
