,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,H06,FAM,,Unkn-16,,,20.85,21.05,0.278,0.00007,-4.169,0.00006,0.00001,60.0,
,H07,FAM,,Unkn-24,,,24.10,24.08,0.026,0.00001,-4.952,0.00001,0.00000,60.0,
,H08,FAM,,Unkn-24,,,24.06,24.08,0.026,0.00001,-4.943,0.00001,0.00000,60.0,
,H09,FAM,,Unkn-32,,,23.27,23.24,0.044,0.00002,-4.752,0.00002,0.00000,60.0,
,H10,FAM,,Unkn-32,,,23.20,23.24,0.044,0.00002,-4.736,0.00002,0.00000,60.0,
,A03,HEX,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A04,HEX,,Unkn-01,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A05,HEX,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A06,HEX,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A07,HEX,,Unkn-17,,,33.09,32.96,0.197,0.00000,-6.891,0.00000,0.00000,60.0,
,A08,HEX,,Unkn-17,,,32.82,32.96,0.197,0.00000,-6.824,0.00000,0.00000,60.0,
,A09,HEX,,Unkn-25,,,33.24,33.13,0.159,0.00000,-6.927,0.00000,0.00000,60.0,
,A10,HEX,,Unkn-25,,,33.02,33.13,0.159,0.00000,-6.873,0.00000,0.00000,60.0,
,A11,HEX,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,HEX,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,HEX,,Std-02,,,12.49,12.41,0.113,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,HEX,,Std-02,,,12.33,12.41,0.113,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,HEX,,Unkn-02,,,,0.00,0.000,,,0.00000,0.00000,60.0,
